epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9713,2.09539,2.48047,1.68583,0.41796,0.3501,0.31535,0.13601,2.15834,2.98493,1.82921,0.000663477,0.000663477,0.000663477
2,58.082,2.05207,2.03054,1.66526,0.28271,0.26415,0.20297,0.07942,2.27118,2.9047,1.89564,0.00130381,0.00130381,0.00130381
3,84.5879,2.05584,1.99119,1.6919,0.37053,0.29909,0.24412,0.0991,2.19027,2.45584,1.82698,0.00191774,0.00191774,0.00191774
4,114.377,1.97721,1.84918,1.63442,0.52314,0.39343,0.40983,0.17913,2.09652,1.89804,1.69756,0.0018812,0.0018812,0.0018812
5,144.422,1.93411,1.78067,1.58845,0.4881,0.4109,0.41935,0.1923,2.10668,1.90841,1.68404,0.0018416,0.0018416,0.0018416
6,173.006,1.90002,1.72468,1.5732,0.53681,0.40461,0.43494,0.20671,1.94956,1.91859,1.62238,0.001802,0.001802,0.001802
7,200.46,1.86277,1.64195,1.53925,0.61292,0.46806,0.51962,0.24809,1.90063,1.64028,1.61094,0.0017624,0.0017624,0.0017624
8,226.604,1.83713,1.60003,1.52818,0.65372,0.51583,0.57331,0.273,1.85804,1.55764,1.57404,0.0017228,0.0017228,0.0017228
9,250.61,1.81432,1.53984,1.51063,0.65407,0.55136,0.61642,0.31242,1.81057,1.43577,1.54487,0.0016832,0.0016832,0.0016832
10,276.005,1.77929,1.49053,1.48182,0.62303,0.52131,0.58479,0.28512,1.83301,1.4936,1.52594,0.0016436,0.0016436,0.0016436
11,302.106,1.76401,1.46294,1.47161,0.69703,0.5891,0.6528,0.32334,1.786,1.37572,1.50568,0.001604,0.001604,0.001604
12,328.269,1.74688,1.44545,1.46012,0.70381,0.61495,0.68968,0.34678,1.71441,1.32401,1.46495,0.0015644,0.0015644,0.0015644
13,354.241,1.7511,1.44058,1.46915,0.69695,0.57442,0.62521,0.32186,1.78224,1.38849,1.44532,0.0015248,0.0015248,0.0015248
14,380.69,1.7135,1.384,1.4364,0.72894,0.60028,0.67338,0.33856,1.77653,1.36606,1.49035,0.0014852,0.0014852,0.0014852
15,406.477,1.6941,1.34662,1.4265,0.76384,0.63173,0.72445,0.39222,1.64303,1.16668,1.40428,0.0014456,0.0014456,0.0014456
16,431.624,1.6837,1.32403,1.41611,0.743,0.63436,0.71041,0.37747,1.65906,1.20715,1.39392,0.001406,0.001406,0.001406
17,458.441,1.67053,1.30783,1.40738,0.73169,0.6464,0.70925,0.35409,1.71868,1.24593,1.43246,0.0013664,0.0013664,0.0013664
18,485.447,1.64687,1.27877,1.38914,0.7717,0.65431,0.74495,0.40259,1.60377,1.14574,1.39224,0.0013268,0.0013268,0.0013268
