epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.101,2.28805,2.48176,2.09797,0.0951,0.12027,0.0269,0.00869,2.99191,9.10638,2.97311,0.000664474,0.000664474,0.000664474
2,155.454,2.35641,2.42993,2.15914,0.25858,0.21821,0.14647,0.05226,2.43868,3.94316,2.27518,0.00119936,0.00119936,0.00119936
3,211.075,2.2757,2.28012,2.06714,0.36439,0.26804,0.25985,0.10351,2.25322,2.64437,2.03537,0.00160224,0.00160224,0.00160224
4,266.04,2.18471,2.12353,1.98723,0.50235,0.32818,0.36085,0.15925,2.09435,2.09005,1.91893,0.001406,0.001406,0.001406
5,325.112,2.10978,2.00133,1.91783,0.5484,0.40034,0.42747,0.19498,2.00946,1.90771,1.77742,0.001208,0.001208,0.001208
6,385.88,2.02206,1.85786,1.83986,0.60033,0.41753,0.4762,0.2142,2.00609,1.80671,1.84245,0.00101,0.00101,0.00101
7,446.736,1.95374,1.74882,1.79139,0.62437,0.4768,0.53549,0.26324,1.88491,1.66531,1.72379,0.000812,0.000812,0.000812
8,507.672,1.8713,1.61356,1.72534,0.64656,0.54063,0.58445,0.28997,1.81956,1.60057,1.68325,0.000614,0.000614,0.000614
9,568.754,1.83375,1.53958,1.69951,0.71095,0.52749,0.61698,0.31407,1.77674,1.46041,1.65506,0.000416,0.000416,0.000416
10,630.207,1.77103,1.44622,1.65651,0.73415,0.58076,0.66983,0.34878,1.73719,1.36024,1.6225,0.000218,0.000218,0.000218
